Texto	formato_bio	contem_erro
 Há pessoas que tratam seus animais como membros da família, com todos os cuidados<wrong>necessários que um animal precisa</wrong> <correct>de que eles precisam</correct> , porém algumas exageram.	[('Há', 'O'), ('pessoas', 'O'), ('que', 'O'), ('tratam', 'O'), ('seus', 'O'), ('animais', 'O'), ('como', 'O'), ('membros', 'O'), ('da', 'O'), ('família', 'O'), (',', 'O'), ('com', 'O'), ('todos', 'O'), ('os', 'O'), ('cuidados', 'O'), ('necessários', 'B-WRONG'), ('que', 'I-WRONG'), ('um', 'I-WRONG'), ('animal', 'I-WRONG'), ('precisa', 'I-WRONG'), ('<correct>', 'O'), ('de', 'O'), ('que', 'O'), ('eles', 'O'), ('precisam', 'O'), ('</correct>', 'O'), (',', 'O'), ('porém', 'O'), ('algumas', 'O'), ('exageram', 'O'), ('.', 'O')]	True
 <wrong>Se não</wrong> quer deixar para os netos por questões particulares, não discuto, afinal a pessoa se faz merecedora ou não.	[('Se', 'B-WRONG'), ('não', 'I-WRONG'), ('quer', 'O'), ('deixar', 'O'), ('para', 'O'), ('os', 'O'), ('netos', 'O'), ('por', 'O'), ('questões', 'O'), ('particulares', 'O'), (',', 'O'), ('não', 'O'), ('discuto', 'O'), (',', 'O'), ('afinal', 'O'), ('a', 'O'), ('pessoa', 'O'), ('se', 'O'), ('faz', 'O'), ('merecedora', 'O'), ('ou', 'O'), ('não', 'O'), ('.', 'O')]	True
É verídico que a alimentação saudável também seja influenciada em casa, pelos pais, e com limites, nunca proibindo.	[('É', 'O'), ('verídico', 'O'), ('que', 'O'), ('a', 'O'), ('alimentação', 'O'), ('saudável', 'O'), ('também', 'O'), ('seja', 'O'), ('influenciada', 'O'), ('em', 'O'), ('casa', 'O'), (',', 'O'), ('pelos', 'O'), ('pais', 'O'), (',', 'O'), ('e', 'O'), ('com', 'O'), ('limites', 'O'), (',', 'O'), ('nunca', 'O'), ('proibindo', 'O'), ('.', 'O')]	False
A cultura e o modo de vida do brasileiro, que invariavelmente associa comemorações ao uso da bebida, é uma questão já arraigada e aceita pela sociedade, além de constantemente incentivada pelos comerciais nas emissoras de televisão.	[('A', 'O'), ('cultura', 'O'), ('e', 'O'), ('o', 'O'), ('modo', 'O'), ('de', 'O'), ('vida', 'O'), ('do', 'O'), ('brasileiro', 'O'), (',', 'O'), ('que', 'O'), ('invariavelmente', 'O'), ('associa', 'O'), ('comemorações', 'O'), ('ao', 'O'), ('uso', 'O'), ('da', 'O'), ('bebida', 'O'), (',', 'O'), ('é', 'O'), ('uma', 'O'), ('questão', 'O'), ('já', 'O'), ('arraigada', 'O'), ('e', 'O'), ('aceita', 'O'), ('pela', 'O'), ('sociedade', 'O'), (',', 'O'), ('além', 'O'), ('de', 'O'), ('constantemente', 'O'), ('incentivada', 'O'), ('pelos', 'O'), ('comerciais', 'O'), ('nas', 'O'), ('emissoras', 'O'), ('de', 'O'), ('televisão', 'O'), ('.', 'O')]	False
Não são raros os casos de crianças que já foram reprovadas mais de uma vez, e de adultos que não concluíram o ensino básico.	[('Não', 'O'), ('são', 'O'), ('raros', 'O'), ('os', 'O'), ('casos', 'O'), ('de', 'O'), ('crianças', 'O'), ('que', 'O'), ('já', 'O'), ('foram', 'O'), ('reprovadas', 'O'), ('mais', 'O'), ('de', 'O'), ('uma', 'O'), ('vez', 'O'), (',', 'O'), ('e', 'O'), ('de', 'O'), ('adultos', 'O'), ('que', 'O'), ('não', 'O'), ('concluíram', 'O'), ('o', 'O'), ('ensino', 'O'), ('básico', 'O'), ('.', 'O')]	False
 Nesse caso</correct> o apoio familiar e tratamentos psicológicos <wrong>seria</wrong> <correct>seriam</correct> a melhor opção.	[('Nesse', 'O'), ('caso', 'O'), ('</correct>', 'O'), ('o', 'O'), ('apoio', 'O'), ('familiar', 'O'), ('e', 'O'), ('tratamentos', 'O'), ('psicológicos', 'O'), ('seria', 'B-WRONG'), ('<correct>', 'O'), ('seriam', 'O'), ('</correct>', 'O'), ('a', 'O'), ('melhor', 'O'), ('opção', 'O'), ('.', 'O')]	True
 A liberação experimental do uso da droga no Uruguai abriu novas discussões e com elas o aumento dos pontos fracionados da corrente favorecista que não consegue responder questões como: o aumento de dependentes, a elevação dos maus efeitos<wrong>a</wrong> <correct>à</correct> saúde e os saltos para o uso de drogas ainda mais fortes.	[('A', 'O'), ('liberação', 'O'), ('experimental', 'O'), ('do', 'O'), ('uso', 'O'), ('da', 'O'), ('droga', 'O'), ('no', 'O'), ('Uruguai', 'O'), ('abriu', 'O'), ('novas', 'O'), ('discussões', 'O'), ('e', 'O'), ('com', 'O'), ('elas', 'O'), ('o', 'O'), ('aumento', 'O'), ('dos', 'O'), ('pontos', 'O'), ('fracionados', 'O'), ('da', 'O'), ('corrente', 'O'), ('favorecista', 'O'), ('que', 'O'), ('não', 'O'), ('consegue', 'O'), ('responder', 'O'), ('questões', 'O'), ('como', 'O'), (':', 'O'), ('o', 'O'), ('aumento', 'O'), ('de', 'O'), ('dependentes', 'O'), (',', 'O'), ('a', 'O'), ('elevação', 'O'), ('dos', 'O'), ('maus', 'O'), ('efeitos', 'O'), ('a', 'B-WRONG'), ('<correct>', 'O'), ('à', 'O'), ('</correct>', 'O'), ('saúde', 'O'), ('e', 'O'), ('os', 'O'), ('saltos', 'O'), ('para', 'O'), ('o', 'O'), ('uso', 'O'), ('de', 'O'), ('drogas', 'O'), ('ainda', 'O'), ('mais', 'O'), ('fortes', 'O'), ('.', 'O')]	True
Trata-se da diferenciação apropriada entre a busca por justiça e a prática da vingança.	[('Trata-se', 'O'), ('da', 'O'), ('diferenciação', 'O'), ('apropriada', 'O'), ('entre', 'O'), ('a', 'O'), ('busca', 'O'), ('por', 'O'), ('justiça', 'O'), ('e', 'O'), ('a', 'O'), ('prática', 'O'), ('da', 'O'), ('vingança', 'O'), ('.', 'O')]	False
 Então não bastaria prender Osama Bin Laden, teriam que matá-lo, como se estivessem dando um conforto a todos os cidadãos que esperaram <wrong>àquele</wrong> <correct>por aquele</correct> momento por quase 10 anos.	[('Então', 'O'), ('não', 'O'), ('bastaria', 'O'), ('prender', 'O'), ('Osama', 'O'), ('Bin', 'O'), ('Laden', 'O'), (',', 'O'), ('teriam', 'O'), ('que', 'O'), ('matá-lo', 'O'), (',', 'O'), ('como', 'O'), ('se', 'O'), ('estivessem', 'O'), ('dando', 'O'), ('um', 'O'), ('conforto', 'O'), ('a', 'O'), ('todos', 'O'), ('os', 'O'), ('cidadãos', 'O'), ('que', 'O'), ('esperaram', 'O'), ('àquele', 'B-WRONG'), ('<correct>', 'O'), ('por', 'O'), ('aquele', 'O'), ('</correct>', 'O'), ('momento', 'O'), ('por', 'O'), ('quase', 'O'), ('10', 'O'), ('anos', 'O'), ('.', 'O')]	True
Os filhos atualmente estão vivendo num mundo em que constantemente estão em busca de mais liberdade, mordomia, viver o momento intensamente, defendendo seu ponto de vista.	[('Os', 'O'), ('filhos', 'O'), ('atualmente', 'O'), ('estão', 'O'), ('vivendo', 'O'), ('num', 'O'), ('mundo', 'O'), ('em', 'O'), ('que', 'O'), ('constantemente', 'O'), ('estão', 'O'), ('em', 'O'), ('busca', 'O'), ('de', 'O'), ('mais', 'O'), ('liberdade', 'O'), (',', 'O'), ('mordomia', 'O'), (',', 'O'), ('viver', 'O'), ('o', 'O'), ('momento', 'O'), ('intensamente', 'O'), (',', 'O'), ('defendendo', 'O'), ('seu', 'O'), ('ponto', 'O'), ('de', 'O'), ('vista', 'O'), ('.', 'O')]	False
